REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",41.3
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.8
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.9
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.9
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],7.4
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],7.7
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.4
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],9.1
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.9
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.6
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.3
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.5
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],8.8
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],9.2
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],9.5
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],10.1
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],10.1
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],11.7
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.5
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.7
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],11.9
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.8
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],11.6
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.2
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],14.9
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],15.1
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],14.4
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.7
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.3
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.6
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.8
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.1
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.5
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],14.2
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.4
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],14.4
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.5
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.3
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.7
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.1
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.6
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.6
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.7
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],13.1
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.4
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing [48-49],12.8
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.7
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.6
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.4
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",6.8
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",6.5
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.8
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.4
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.8
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.5
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.5
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.7
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.8
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",5.9
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.6
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.2
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.8
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.9
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.7
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.7
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.3
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.1
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.8
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.5
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.2
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.9
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.5
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.3
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",6.8
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",6.8
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.1
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.3
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.4
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.1
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.8
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.2
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.6
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.8
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.5
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.7
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.6
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.5
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",7.6
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.3
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.3
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.5
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.8
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.8
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.8
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.5
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing [52-53]",8.5
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.5
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.5
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.8
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",13.1
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.8
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",13.1
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.5
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.4
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.1
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.2
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.4
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.9
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.4
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.2
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.3
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.1
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.2
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.8
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.6
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.2
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.4
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",10.9
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.2
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.5
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.9
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.9
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.3
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.2
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.6
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.1
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.1
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.3
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.5
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.7
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.9
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.4
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",13.6
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",13.2
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",13.2
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.8
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.2
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.4
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.7
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.2
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.8
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",11.7
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services [54]",12.4
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.6
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.7
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.1
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.5
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.7
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.2
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.1
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.5
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.2
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.7
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.6
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.2
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.3
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.7
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.7
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.6
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.8
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.3
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.8
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.5
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",4.7
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.3
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.7
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.7
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.6
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.3
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.3
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.3
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",5.8
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.5
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.4
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.1
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.4
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.1
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.2
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.5
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.4
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",7.2
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",6.6
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",8.8
